Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,Has Delegated,Delegate,Has Delegators,Delegators,Avatar Preview
0xffc8d9910fb9910b57a9783b841e43f8dd5b4c77,17.375732716760734,17.375732716760734,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xffc8d9910fb9910b57a9783b841e43f8dd5b4c77
0x6d873a14a470dd969d7c76a2e088169ab2a1d7ae,0.20556232323019336,0.20556232323019336,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x6d873a14a470dd969d7c76a2e088169ab2a1d7ae
0xbe0284a4a260df4c58eec491d41995ceee3fac58,101.54223175,101.54223175,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xbe0284a4a260df4c58eec491d41995ceee3fac58
0x393b4919fdd1f8740c8708baa411a34299a4cacd,25.685365340153208,25.685365340153208,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x393b4919fdd1f8740c8708baa411a34299a4cacd
0x8b35520baf8fab6823f6266c018daa0ef91b61fc,155,55,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x8b35520baf8fab6823f6266c018daa0ef91b61fc
0xd1e81eacc61cf9d9210c7605127635b123173dd1,300.85985049887177,300.85985049887177,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd1e81eacc61cf9d9210c7605127635b123173dd1
0x3a49309413793b32f6a308769220147fedbffa5f,106800,14800,0,92000,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3a49309413793b32f6a308769220147fedbffa5f
0x280d99e519537851117a1d53a02121b1e2866b64,298.53217708825963,198.53217708825963,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x280d99e519537851117a1d53a02121b1e2866b64
0x712eeadc95e6a3943689060c8ce50f1560740ab6,8.299077510496575,8.299077510496575,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x712eeadc95e6a3943689060c8ce50f1560740ab6
0xcb034160f7b45e41e6015ecea09f31a66c144422,22.971083477461665,22.971083477461665,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xcb034160f7b45e41e6015ecea09f31a66c144422
0x90c685c31953c2b2675f723e7fa74efc83fa8fca,6100.000778039167,0.000778039166763116,6000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x90c685c31953c2b2675f723e7fa74efc83fa8fca
0x7e8c24e5088507ec3a063f8027a2b7965b17dfc6,109.65,9.65,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x7e8c24e5088507ec3a063f8027a2b7965b17dfc6
0x34f216ff2a5425d0091f9df5d112b68f29beec0d,238.3013539330105,38.3013539330105,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x34f216ff2a5425d0091f9df5d112b68f29beec0d
0x5c20b91f068f34681e0c583f2bfd7831d5589ea8,2000,0,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5c20b91f068f34681e0c583f2bfd7831d5589ea8
0xa76dd4c653009c756793ca12219b6a6dfe8da62f,230000,230000,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xa76dd4c653009c756793ca12219b6a6dfe8da62f
0x7840146bc28b7ef66c8d3a62f95b47fd9e5b28b0,10635.52871148,10035.52871148,0,600,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x7840146bc28b7ef66c8d3a62f95b47fd9e5b28b0
0x6c7c59e2f211b6d8948da9af6883f708fda27222,1305,5,0,1300,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x6c7c59e2f211b6d8948da9af6883f708fda27222
0xb30a154d44c97262cecc51e4c429b2d138a161cf,337.8492264877941,37.84922648779414,0,300,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xb30a154d44c97262cecc51e4c429b2d138a161cf
0xc4a9e47bad1ff36abab31fd4099588fb7f46488c,2000,0,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xc4a9e47bad1ff36abab31fd4099588fb7f46488c
0x270722b5222968603e4650c3b70a7dfb971ed5b6,235.49663010587744,135.49663010587744,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x270722b5222968603e4650c3b70a7dfb971ed5b6
0x05fe7dab0bc99f44e9761aa903c327e45b83005b,100,0,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x05fe7dab0bc99f44e9761aa903c327e45b83005b
0x9cadfa9e044575e6ef484b8708e19e1794aff8b3,1000.0091342836625,1000.0091342836625,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x9cadfa9e044575e6ef484b8708e19e1794aff8b3
0x935ebbc95c8356b2af957f4af398f9060a908056,2000,0,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x935ebbc95c8356b2af957f4af398f9060a908056
0xc41bcb7593d34410fcf2496503508f8aa747cd03,2000,0,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xc41bcb7593d34410fcf2496503508f8aa747cd03
0xb1065430f9a72f87d1824afeba7356c7dd0dba30,6000,0,6000,0,0,Yes,0x8b51c1ba09ee33e7649cac62ccb6d0f410f5647a,No,,https://wearable-preview.decentraland.org/?profile=0xb1065430f9a72f87d1824afeba7356c7dd0dba30
0x0409b454db103199a9aee027f307b6a1cb830120,150,50,0,100,0,Yes,0x0d779d67a428457cabec145a0f94703d14cd496b,No,,https://wearable-preview.decentraland.org/?profile=0x0409b454db103199a9aee027f307b6a1cb830120
0xd82d005e8f8d5385db40ba23884a5c967bb1e8af,458.87,158.87,0,300,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd82d005e8f8d5385db40ba23884a5c967bb1e8af
0x3b17dbf36abfd4c62d71a2b62cc72d954727a841,2.5203977156073294,2.5203977156073294,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3b17dbf36abfd4c62d71a2b62cc72d954727a841
